query_id,type,tier,query,C1_before,C1_after,C3_before,C3_after,C7_before,C7_after,C2_before,C2_after,C4_before,C4_after,C5_before,C5_after,C6_before,C6_after,C8_before,C8_after,C9_before,C9_after,C10_before,C10_after,C11_before,C11_after,C12_before,C12_after
A01,A,single-fact,Which Austrian company uses artificial intelligence to automatically analyse bone and joint images so that radiologists ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02,A,single-fact,Which Austrian fintech startup allows shops and businesses to accept cryptocurrency payments by plugging into their exis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03,A,two-fact,Which Swiss university spinoff stores surplus renewable electricity by converting it into iron oxide and then reversing ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A04,A,two-fact,Which Swiss climate startup uses drones and environmental DNA tracking to replant mangroves at scale along coastlines th,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A05,A,single-fact,Which Austrian startup lets privately insured patients pay for medical expenses with a card at the point of care instead,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A06,A,single-fact,Which Austrian startup offers an app that assesses the risk of skin cancer from a photo and connects the user with a der,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5
A07,A,single-fact,Which Austrian fintech startup helps banks and insurance companies let their customers search for a specific advisor and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A08,A,single-fact,Which German startup allows everyday investors to fund construction and real estate projects online in exchange for fixe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A09,A,two-fact,Which Swiss cleantech startup extracts renewable heating and cooling energy from the walls and floors of underground str,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A10,A,two-fact,"Which Swiss deep-tech startup uses quantum mechanics to measure magnetic fields at the scale of individual atoms, with a",0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0
A11,A,two-fact,Which Swiss startup enables autonomous underwater vehicles and divers to communicate and transfer data through water usi,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.4,0.4
A12,A,single-fact,"Which German startup can screen patients for coronary artery disease without any injections, catheters, or imaging contr",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A13,A,single-fact,Which German startup runs an online marketplace where biomedical researchers can order human tissue samples and biologic,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,1.0
A14,A,single-fact,Which German cybersecurity firm goes beyond passive defence by actively hunting for attackers inside client networks and,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15,A,single-fact,"Which German startup uses computer vision to count and analyse yeast cells under a microscope automatically, helping cra",0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
A16,A,two-fact,Which German startup developed a self-driving car system by modelling the technology after the way the human brain proce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A17,A,single-fact,"Which Swiss startup makes it easy for people living in city apartments to compost their kitchen scraps using worms, with",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
A18,A,two-fact,Which Swiss ETH spinoff uses nanotechnology and Raman spectroscopy to detect contamination in the ultrapure liquids used,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A19,A,two-fact,Which Swiss blockchain startup has built the infrastructure layer that allows institutional borrowers and lenders to tra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A20,A,two-fact,Which Swiss cleantech startup makes software that helps electricity distribution network operators manage the instabilit,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
