query_id,tier,query,C1_prr_before,C1_prr_after,C1_disc_acc,C2_prr_before,C2_prr_after,C2_disc_acc,C3_prr_before,C3_prr_after,C3_disc_acc,C4_prr_before,C4_prr_after,C4_disc_acc,C5_prr_before,C5_prr_after,C5_disc_acc,C6_prr_before,C6_prr_after,C6_disc_acc
Q01,single-fact,Which Vienna-based Austrian startup founded in 2018 focuses on cybersecurity and compliance?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q02,single-fact,Which Austrian fintech scaleup based in Linz was founded in 2017 and deals with cryptocurrency taxation?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q03,single-fact,Which Swiss startup founded in 2016 in Zürich provides digital health monitoring for animals?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q04,single-fact,Which Berlin cybersecurity company founded in 2014 has between 51 and 100 employees?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q05,single-fact,Which Swiss fintech startup based in Adliswil was founded in 2017 and focuses on invoicing?,0%,0%,—,0%,0%,100%,100%,100%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q06,single-fact,Which Munich B2B SaaS startup was founded in 2020 and offers workplace management software?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,50%,0%,0%,100%,0%,0%,100%
Q07,single-fact,Which Munich fintech startup founded in 2021 focuses on payment solutions?,50%,50%,—,50%,50%,50%,0%,0%,—,0%,0%,100%,50%,50%,50%,0%,0%,100%
Q08,single-fact,Which Zurich-based Swiss scaleup founded in 2015 provides fleet management and vehicle data solutions?,50%,50%,—,50%,50%,50%,50%,50%,—,100%,0%,0%,50%,50%,50%,100%,0%,0%
Q09,single-fact,Which Austrian cleantech startup with 1-10 employees was founded in 2020 in Fischlham?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
Q10,single-fact,Which Vienna-based Austrian startup founded in 2020 with 11-50 employees focuses on energy efficiency using AI?,0%,0%,—,0%,0%,100%,0%,0%,—,0%,0%,100%,0%,0%,100%,0%,0%,100%
