query_id,type,tier,query,mean_prr_before,mean_delta,n_conditions_flagged,n_conditions_improved,gemini_before,mistral_before,llama3_before,gemini_delta,mistral_delta,llama3_delta
A01,A,single-fact,Which Austrian company uses artificial intelligence to automatically analyse bone and joint images so that radiologists ,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A02,A,single-fact,Which Austrian fintech startup allows shops and businesses to accept cryptocurrency payments by plugging into their exis,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A03,A,two-fact,Which Swiss university spinoff stores surplus renewable electricity by converting it into iron oxide and then reversing ,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A04,A,two-fact,Which Swiss climate startup uses drones and environmental DNA tracking to replant mangroves at scale along coastlines th,0.3333333333333333,-0.3333333333333333,1,1,0.0,1.0,0.0,0.0,-1.0,0.0
A05,A,single-fact,Which Austrian startup lets privately insured patients pay for medical expenses with a card at the point of care instead,0.3333333333333333,-0.3333333333333333,1,1,0.0,1.0,0.0,0.0,-1.0,0.0
A06,A,single-fact,Which Austrian startup offers an app that assesses the risk of skin cancer from a photo and connects the user with a der,0.5,0.0,2,0,1.0,0.0,0.5,0.0,0.0,0.0
A07,A,single-fact,Which Austrian fintech startup helps banks and insurance companies let their customers search for a specific advisor and,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A08,A,single-fact,Which German startup allows everyday investors to fund construction and real estate projects online in exchange for fixe,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A09,A,two-fact,Which Swiss cleantech startup extracts renewable heating and cooling energy from the walls and floors of underground str,0.3333333333333333,-0.3333333333333333,1,1,0.0,1.0,0.0,0.0,-1.0,0.0
A10,A,two-fact,"Which Swiss deep-tech startup uses quantum mechanics to measure magnetic fields at the scale of individual atoms, with a",0.3333333333333333,-0.16666666666666666,2,1,0.0,0.5,0.5,0.0,0.0,-0.5
A11,A,two-fact,Which Swiss startup enables autonomous underwater vehicles and divers to communicate and transfer data through water usi,0.13333333333333333,0.0,1,0,0.0,0.0,0.4,0.0,0.0,0.0
A12,A,single-fact,"Which German startup can screen patients for coronary artery disease without any injections, catheters, or imaging contr",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A13,A,single-fact,Which German startup runs an online marketplace where biomedical researchers can order human tissue samples and biologic,0.6666666666666666,-0.16666666666666666,3,1,0.5,1.0,0.5,0.0,-1.0,0.5
A14,A,single-fact,Which German cybersecurity firm goes beyond passive defence by actively hunting for attackers inside client networks and,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A15,A,single-fact,"Which German startup uses computer vision to count and analyse yeast cells under a microscope automatically, helping cra",0.6666666666666666,-0.6666666666666666,2,2,0.0,1.0,1.0,0.0,-1.0,-1.0
A16,A,two-fact,Which German startup developed a self-driving car system by modelling the technology after the way the human brain proce,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A17,A,single-fact,"Which Swiss startup makes it easy for people living in city apartments to compost their kitchen scraps using worms, with",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A18,A,two-fact,Which Swiss ETH spinoff uses nanotechnology and Raman spectroscopy to detect contamination in the ultrapure liquids used,0.3333333333333333,-0.3333333333333333,1,1,0.0,1.0,0.0,0.0,-1.0,0.0
A19,A,two-fact,Which Swiss blockchain startup has built the infrastructure layer that allows institutional borrowers and lenders to tra,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A20,A,two-fact,Which Swiss cleantech startup makes software that helps electricity distribution network operators manage the instabilit,0.6666666666666666,-0.3333333333333333,2,1,0.0,1.0,1.0,0.0,0.0,-1.0
A21,A,single-fact,Which Swiss startup sells a SaaS platform that energy suppliers use to read smart meters remotely and reduce the manual ,0.16666666666666666,0.0,1,0,0.5,0.0,0.0,0.0,0.0,0.0
A22,A,two-fact,Which Swiss startup uses AI to help cities and property owners model the energy performance of entire urban neighbourhoo,0.3333333333333333,0.0,1,0,0.0,0.0,1.0,0.0,0.0,0.0
A23,A,single-fact,"Which Swiss startup helps students who want to study at a foreign university independently, without going through a form",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A24,A,single-fact,Which Swiss startup trains company employees to resist phishing attacks by sending them convincing fake phishing emails ,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A25,A,two-fact,Which Swiss healthtech startup uses AI to analyse photographs of the inside of the eye in order to detect signs of diabe,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A26,A,single-fact,Which German startup analyses the text content of web pages in real time so that the ads shown on those pages match the ,0.16666666666666666,-0.16666666666666666,1,1,0.5,0.0,0.0,-0.5,0.0,0.0
A27,A,two-fact,Which German startup makes a software brain for factory robots that allows them to visually identify and pick up objects,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A28,A,two-fact,Which German IT company specialises in running and integrating SAP systems specifically for freight forwarding and air c,0.3333333333333333,0.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0
A29,A,single-fact,Which German startup lets retail investors buy small fractional stakes in individual residential or commercial propertie,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
A30,A,two-fact,"Which German software company helps pharmaceutical and medical device companies manage the documentation, audit trails, ",0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
B01,B,single-fact,Which German startup uses AI to help online publishers and advertisers target the right audience?,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
B02,B,single-fact,Which Swiss startup is working on energy storage solutions for renewable power?,0.39999999999999997,0.016666666666666663,3,0,0.6,0.4,0.2,0.0,0.0,0.04999999999999999
