query_id,tier,query,C1_prr,C2_before,C2_after,C2_disc,C3_prr,C4_before,C4_after,C4_disc
Q01,single-fact,Which Vienna-based Austrian startup founded in 2018 focuses on cybersecurity and,0%,0%,0%,100%,50%,0%,0%,100%
Q02,single-fact,Which Austrian fintech scaleup based in Linz was founded in 2017 and deals with ,0%,0%,0%,100%,0%,100%,0%,0%
Q03,single-fact,Which Swiss startup founded in 2016 in Zürich provides digital health monitoring,0%,0%,0%,100%,0%,0%,0%,100%
Q04,single-fact,Which Berlin cybersecurity company founded in 2014 has between 51 and 100 employ,0%,0%,0%,100%,0%,0%,0%,100%
Q05,single-fact,Which Swiss fintech startup based in Adliswil was founded in 2017 and focuses on,0%,0%,0%,100%,0%,0%,0%,0%
Q06,single-fact,Which Munich B2B SaaS startup was founded in 2020 and offers workplace managemen,0%,100%,100%,0%,0%,0%,0%,100%
Q07,single-fact,Which Munich fintech startup founded in 2021 focuses on payment solutions?,100%,100%,0%,0%,0%,0%,0%,100%
Q08,single-fact,Which Zurich-based Swiss scaleup founded in 2015 provides fleet management and v,0%,100%,100%,0%,0%,0%,0%,0%
Q09,single-fact,Which Austrian cleantech startup with 1-10 employees was founded in 2020 in Fisc,0%,0%,0%,100%,0%,0%,0%,100%
Q10,single-fact,Which Vienna-based Austrian startup founded in 2020 with 11-50 employees focuses,0%,0%,0%,100%,0%,0%,0%,100%
Q11,single-fact,Which Austrian cleantech startup in Vienna was founded in 2018 and provides gree,0%,0%,0%,100%,0%,100%,0%,0%
Q12,single-fact,Which Swiss cleantech scaleup based in Biel founded in 2018 focuses on water sus,100%,100%,100%,0%,0%,0%,0%,0%
Q13,single-fact,Which Graz-based Austrian cleantech SME founded in 2014 works on green urban sol,0%,0%,0%,100%,0%,0%,0%,100%
Q14,single-fact,Which Swiss renewable energy startup in Sion was founded in 2021 with fewer than,0%,0%,0%,100%,0%,0%,0%,0%
Q15,single-fact,Which Austrian insurtech scaleup based in Neunkirchen was founded in 2017?,100%,100%,100%,0%,0%,0%,0%,0%
Q16,single-fact,Which Swiss proptech SME in Zürich was founded in 2017 and helps homeowners mana,0%,0%,0%,100%,0%,0%,0%,100%
Q17,single-fact,Which Berlin-based German edtech startup was founded in 2015 with 1-10 employees,0%,0%,0%,100%,0%,0%,0%,0%
Q18,single-fact,Which Austrian logistics SME based in Wiener Neudorf was founded in 2015?,0%,0%,0%,100%,0%,0%,0%,100%
Q19,single-fact,Which German legaltech startup founded in 2017 in Munich focuses on intellectual,0%,100%,100%,0%,0%,0%,0%,100%
Q20,single-fact,Which Swiss mobility SaaS startup in Lausanne was founded in 2022 and works with,100%,100%,100%,0%,0%,50%,50%,50%
Q21,two-fact,Which Austrian startup founded in 2021 in Linz works in fintech and has offices ,0%,0%,0%,100%,0%,0%,0%,100%
Q22,two-fact,Which German cybersecurity SME based in Berlin was founded in 2017 and has more ,100%,100%,100%,0%,0%,100%,0%,0%
Q23,two-fact,Which Austrian scaleup founded in 2018 with over 250 employees operates in data ,0%,0%,0%,100%,0%,0%,0%,0%
Q24,two-fact,Which Swiss scaleup in Schlieren founded in 2017 operates in energy markets acro,0%,0%,0%,100%,0%,0%,0%,100%
